EmployeeKey|FirstName|LastName|MiddleName|Title|HireDate|BirthDate|EmailAddress|Phone|MaritalStatus|EmergencyContactName|EmergencyContactPhone|SalariedFlag|Gender|PayFrequency|BaseRate|VacationHours|SalesPersonFlag|DepartmentName|StartDate|EndDate|StoreKey
286|Kirk|Gregersen||Sales Store Manager|2001-07-01|1965-01-06|pamela0@contoso.com|340-555-0193|S|Ryan Gregg|340-555-0193|1|F|2|25.0|22|1|Sales|2001-07-01||173
287|Leo|Giakoumakis||Sales Store Manager|2001-07-01|1934-04-10|shu0@contoso.com|330-555-0120|M|Phil Gibbins|330-555-0120|1|M|2|25.0|26|1|Sales|2001-07-01||305
288|Nikolay|Grachev||Sales Store Manager|2001-07-01|1930-01-11|josé1@contoso.com|185-555-0169|M|Chris Gray|185-555-0169|1|M|2|25.0|31|1|Sales|2001-07-01||179
289|Enrique|Gil||Sales Store Manager|2001-07-01|1964-03-14|david8@contoso.com|740-555-0182|S|Guy Gilbert|740-555-0182|1|M|2|25.0|23|1|Sales|2001-07-01||249
290|Mojca|Gostincar||Sales Store Manager|2002-05-18|1947-10-22|amy0@contoso.com|775-555-0164|M|Elisa Graceffo|775-555-0164|1|F|2|25.0|21|1|Sales|2002-05-18||84
291|Eric|Gilmore||Sales Store Manager|2002-07-01|1958-04-18|jae0@contoso.com|1 (11) 500 555-0145|M|Adriana Giorgi|1 (11) 500 555-0145|1|F|2|25.0|37|1|Sales|2002-07-01||214
292|Nuria|Gonzalez||Sales Store Manager|2002-07-01|1965-10-31|ranjit0@contoso.com|1 (11) 500 555-0117|S|Jon Gordner|1 (11) 500 555-0117|1|M|2|25.0|34|1|Sales|2002-07-01||265
293|Stuart|Glasson||Sales Store Manager|2002-11-01|1968-02-06|tete0@contoso.com|615-555-0153|M|Jim Glynn|615-555-0153|1|M|2|25.0|39|1|Sales|2002-11-01||102
294|Daniel|Goldschmidt||Sales Store Manager|2003-04-15|1965-02-11|syed0@contoso.com|926-555-0182|M|Howard Gonzalez|926-555-0182|1|M|2|25.0|20|1|Sales|2003-04-15||141
295|Gerhard|Goeschl||Sales Store Manager|2003-07-01|1965-08-09|rachel0@contoso.com|1 (11) 500 555-0140|S|Mete Goktepe|1 (11) 500 555-0140|1|F|2|25.0|35|1|Sales|2003-07-01||198
296|Jossef|Goldberg||Sales Store Manager|2003-07-01|1961-04-18|lynn0@contoso.com|1 (11) 500 555-0190|S|Maxim Goldin|1 (11) 500 555-0190|1|F|2|25.0|36|1|Sales|2003-07-01||5
